product_name,category,product_type,brand,color,size,material,price,discount,rating,stock,occasion,date,description
Puma Sneakers,Footwear,Sneakers,Puma,Green,Free,Canvas,9810,23,4.7,82,Formal,2024-11,"Puma Sneakers made of Canvas, suitable for formal wear."
Levis Casual Shirt,Shirts,Casual Shirt,Levis,Brown,L,Polyester,9561,5,5.0,20,Travel,2024-03,"Levis Casual Shirt made of Polyester, suitable for travel wear."
Levis Laptop Bag,Bags,Laptop Bag,Levis,Brown,Free,Canvas,5507,46,3.3,120,Travel,2024-05,"Levis Laptop Bag made of Canvas, suitable for travel wear."
Nike Duffel Bag,Bags,Duffel Bag,Nike,Green,Free,Cotton,6142,33,4.3,131,Casual,2024-07,"Nike Duffel Bag made of Cotton, suitable for casual wear."
Zara Digital Watch,Watches,Digital Watch,Zara,Blue,Free,Cotton,6162,47,4.5,175,Casual,2024-10,"Zara Digital Watch made of Cotton, suitable for casual wear."
Nike Backpack,Bags,Backpack,Nike,Green,Free,Cotton,9930,40,3.6,125,Formal,2024-05,"Nike Backpack made of Cotton, suitable for formal wear."
Fossil Denim Shirt,Shirts,Denim Shirt,Fossil,Grey,L,Denim,4916,37,3.2,123,Sports,2024-03,"Fossil Denim Shirt made of Denim, suitable for sports wear."
Levis Denim Shirt,Shirts,Denim Shirt,Levis,Grey,XL,Cotton,7739,12,4.3,12,Party,2024-07,"Levis Denim Shirt made of Cotton, suitable for party wear."
Zara Analog Watch,Watches,Analog Watch,Zara,Black,Free,Cotton,5618,12,3.8,22,Formal,2024-03,"Zara Analog Watch made of Cotton, suitable for formal wear."
Levis Duffel Bag,Bags,Duffel Bag,Levis,Brown,Free,Cotton,2840,12,4.4,182,Party,2024-09,"Levis Duffel Bag made of Cotton, suitable for party wear."
Adidas Smart Watch,Watches,Smart Watch,Adidas,White,Free,Cotton,2180,13,3.8,90,Travel,2024-12,"Adidas Smart Watch made of Cotton, suitable for travel wear."
Puma Sling Bag,Bags,Sling Bag,Puma,Black,Free,Canvas,9739,32,3.0,161,Travel,2024-06,"Puma Sling Bag made of Canvas, suitable for travel wear."
Zara Sling Bag,Bags,Sling Bag,Zara,Brown,Free,Leather,8882,30,3.7,42,Sports,2024-02,"Zara Sling Bag made of Leather, suitable for sports wear."
Nike Running Shoes,Footwear,Running Shoes,Nike,Blue,Free,Denim,7979,47,3.5,26,Travel,2024-09,"Nike Running Shoes made of Denim, suitable for travel wear."
Fossil Formal Shirt,Shirts,Formal Shirt,Fossil,Green,L,Canvas,1609,26,3.1,110,Casual,2024-04,"Fossil Formal Shirt made of Canvas, suitable for casual wear."
Levis Sling Bag,Bags,Sling Bag,Levis,Red,Free,Leather,5661,30,3.4,1,Sports,2024-01,"Levis Sling Bag made of Leather, suitable for sports wear."
Adidas Smart Watch,Watches,Smart Watch,Adidas,Black,Free,Canvas,9107,36,4.3,57,Casual,2024-08,"Adidas Smart Watch made of Canvas, suitable for casual wear."
